00110101	255	0
000111	255	1
0111	255	2
1000	255	3
1011	255	4
1100	255	5
1110	255	6
1111	255	7
10011	255	8
10100	255	9
00111	255	10
01000	255	11
001000	255	12
000011	255	13
110100	255	14
110101	255	15
101010	255	16
101011	255	17
0100111	255	18
0001100	255	19
0001000	255	20
0010111	255	21
0000011	255	22
0000100	255	23
0101000	255	24
0101011	255	25
0010011	255	26
0100100	255	27
0011000	255	28
00000010	255	29
00000011	255	30
00011010	255	31
00011011	255	32
00010010	255	33
00010011	255	34
00010100	255	35
00010101	255	36
00010110	255	37
00010111	255	38
00101000	255	39
00101001	255	40
00101010	255	41
00101011	255	42
00101100	255	43
00101101	255	44
00000100	255	45
00000101	255	46
00001010	255	47
00001011	255	48
01010010	255	49
01010011	255	50
01010100	255	51
01010101	255	52
00100100	255	53
00100101	255	54
01011000	255	55
01011001	255	56
01011010	255	57
01011011	255	58
01001010	255	59
01001011	255	60
00110010	255	61
00110011	255	62
00110100	255	63
11011	254	64
10010	254	128
010111	254	192
0110111	254	256
00110110	254	320
00110111	254	384
01100100	254	448
01100101	254	512
01101000	254	576
01100111	254	640
011001100	254	704
011001101	254	768
011010010	254	832
011010011	254	896
011010100	254	960
011010101	254	1024
011010110	254	1088
011010111	254	1152
011011000	254	1216
011011001	254	1280
011011010	254	1344
011011011	254	1408
010011000	254	1472
010011001	254	1536
010011010	254	1600
011000	254	1664
010011011	254	1728
00000001000	254	1792
00000001100	254	1856
00000001101	254	1920
000000010010	254	1984
000000010011	254	2048
000000010100	254	2112
000000010101	254	2176
000000010110	254	2240
000000010111	254	2304
000000011100	254	2368
000000011101	254	2432
000000011110	254	2496
000000011111	254	2560
00000000	250	0
