0000110111	255	0
010	255	1
11	255	2
10	255	3
011	255	4
0011	255	5
0010	255	6
00011	255	7
000101	255	8
000100	255	9
0000100	255	10
0000101	255	11
0000111	255	12
00000100	255	13
00000111	255	14
000011000	255	15
0000010111	255	16
0000011000	255	17
0000001000	255	18
00001100111	255	19
00001101000	255	20
00001101100	255	21
00000110111	255	22
00000101000	255	23
00000010111	255	24
00000011000	255	25
000011001010	255	26
000011001011	255	27
000011001100	255	28
000011001101	255	29
000001101000	255	30
000001101001	255	31
000001101010	255	32
000001101011	255	33
000011010010	255	34
000011010011	255	35
000011010100	255	36
000011010101	255	37
000011010110	255	38
000011010111	255	39
000001101100	255	40
000001101101	255	41
000011011010	255	42
000011011011	255	43
000001010100	255	44
000001010101	255	45
000001010110	255	46
000001010111	255	47
000001100100	255	48
000001100101	255	49
000001010010	255	50
000001010011	255	51
000000100100	255	52
000000110111	255	53
000000111000	255	54
000000100111	255	55
000000101000	255	56
000001011000	255	57
000001011001	255	58
000000101011	255	59
000000101100	255	60
000001011010	255	61
000001100110	255	62
000001100111	255	63
0000001111	254	64
000011001000	254	128
000011001001	254	192
000001011011	254	256
000000110011	254	320
000000110100	254	384
000000110101	254	448
0000001101100	254	512
0000001101101	254	576
0000001001010	254	640
0000001001011	254	704
0000001001100	254	768
0000001001101	254	832
0000001110010	254	896
0000001110011	254	960
0000001110100	254	1024
0000001110101	254	1088
0000001110110	254	1152
0000001110111	254	1216
0000001010010	254	1280
0000001010011	254	1344
0000001010100	254	1408
0000001010101	254	1472
0000001011010	254	1536
0000001011011	254	1600
0000001100100	254	1664
0000001100101	254	1728
00000001000	254	1792
00000001100	254	1856
00000001101	254	1920
000000010010	254	1984
000000010011	254	2048
000000010100	254	2112
000000010101	254	2176
000000010110	254	2240
000000010111	254	2304
000000011100	254	2368
000000011101	254	2432
000000011110	254	2496
000000011111	254	2560
00000000	250	0
